Questions,Answers
هل يمكن أن أُصاب بمرض كوفيد-19 نتيجة تناول أغذية طازجة، مثل الفواكه والخضروات؟ ,لا توجد حاليا أي بيّنات توحي بإمكانية إصابة الشخص بمرض كوفيد-19 نتيجة تناول الأغذية، بما فيها الفواكه والخضروات. وتعد الفواكه والخضروات الطازجة جزءا من النظام الغذائي الصحي وينبغي تشجيع استهلاكها.
كيف ينبغي أن أغسل الفواكه والخضروات أثناء جائحة كوفيد-19؟ ,اغسل الفواكه والخضروات بنفس الطريقة التي اعتدت على غسلها في أي ظروف أخرى. وقبل لمسها، اغسل يديك بالصابون والماء، ثم اغسل الفواكه والخضروات جيدا بالمياه النظيفة، وخاصة إذا كنت تتناولها نيّئة. 
هل يمكن للفيروس المسبب لمرض كوفيد-19 أن يعيش على سطح عبوات الأغذية؟ ,تحتاج فيروسات كورونا إلى مضيف حيواني أو بشري حي لكي تتكاثر وتبقى على قيد الحياة، ولا يمكنها أن تتكاثر على أسطح عبوات الأغذية. لذا، فلا داعي لتطهير مواد تعبئة الأغذية، ولكن ينبغي غسل اليدين جيدا بعد مناولة عبوات الأغذية وقبلها.
هل يمكن للفيروس المسبب لمرض كوفيد-19 أن ينتقل من خلال استهلاك الأغذية المطهية، بما فيها المنتجات الحيوانية؟ ,لا توجد حاليا أي بيّنات توحي بإمكانية إصابة الشخص بمرض كوفيد-19 نتيجة لتناوله الأغذية. ويمكن قتل الفيروس المسبب لمرض كوفيد-19 عند درجات حرارة مماثلة لتلك التي تُقتل فيها سائر الفيروسات والجراثيم المعروفة الموجودة في الغذاء. وينبغي دائما طهي الأغذية جيداً، من قبيل اللحوم والدواجن والبيض، عند 70 درجة مئوية على الأقل. وقبل ذلك، ينبغي مناولة المنتجات الحيوانية النيئة بعناية لتجنب انتقال التلوث بين الأغذية المطهية.
هل تعد خدمة توصيل منتجات البقالة مأمونة؟ ,نعم، خدمة توصيل منتجات البقالة مأمونة بشرط أن يتبع مقدم الخدمة ممارسات النظافة الشخصية والصحة الغذائية الجيدة. وبعد تسلّم الأغذية/ منتجات البقالة، ينبغي غسل اليدين جيدا.  نظّف يديك بمطهّر قبل دخول المحل.  عند السعال أو العطس، احرص على تغطية فمك أو أنفك بمرفقك المثني أو بمنديل ورقي.   حافظ على مسافة لا تقل عن متر واحد من الآخرين، وإذا تعذّر عليك ذلك، ارتدِ كمامة (العديد من المتاجر تشترط حاليا ارتداء كمامة).  عند الوصول إلى المنزل، اغسل يديك جيدا وافعل ذلك أيضاً بعد مناولة وتخزين المنتجات التي اشتريتها.    لم تُسجّل حتى الآن أي حالة إصابة مؤكدة بمرض كوفيد-19 نتيجة لانتقال العدوى عن طريق الأغذية أو عبوات الأغذية.
هل تعد خدمة توصيل منتجات البقالة مأمونة؟ ,نعم، خدمة توصيل منتجات البقالة مأمونة بشرط أن يتبع مقدم الخدمة ممارسات النظافة الشخصية والصحة الغذائية الجيدة. وبعد تسلّم الأغذية/ منتجات البقالة، ينبغي غسل اليدين جيدا.
ما هو أفضل مطهّر منزلي للأسطح؟ ,تتيح منتجات التنظيف والتطهير المنزلية المعتادة القضاء على الفيروس من الأسطح المنزلية بشكل فعال. ولتنظيف وتطهير المنازل التي توجد فيها حالات إصابة بمرض كوفيد-19 مؤكدة أو مشتبه فيها، ينبغي استخدام مطهرات مبيدة للفيروسات على الأسطح، مثل هيبوكلوريت الصوديوم بتركيز 0.05٪ والمنتجات المحتوية على الإيثانول (بتركيز 70٪ على الأقل).
ما هي الأغذية التي ينبغي استهلاكها لدعم الجهاز المناعي؟ ,إن الجهاز المناعي بحاجة إلى دعم العديد من المغذّيات. ويوصى باستهلاك مجموعة متنوعة من الأغذية للحفاظ على نظام غذائي صحي ومتوازن، بما في ذلك الحبوب الكاملة والبقوليات والخضروات والفواكه والمكسرات والأغذية الحيوانية المصدر. فلا يوجد صنف غذائي واحد يمكن أن يقيك من الإصابة بمرض كوفيد-19.
هل يمكن للمكملات الغذائية الدقيقة (الفيتامينات والمعادن) أن تقي الأفراد المتمتّعين بصحة جيدة من الإصابة بمرض كوفيد-19 أو تشفي مرضى كوفيد-19؟ ,لا. لا توجد حالياً أي إرشادات بشأن التكميل بالمغذيات الدقيقة لوقاية الأفراد المتمتّعين بصحة جيدة من مرض كوفيد-19 أو لعلاج مرضى كوفيد-19. وتعد هذه المغذيات ضرورية لضمان جهاز مناعي جيد الأداء، وتلعب دورا حيويا في تعزيز الصحة والعافية التغذوية. وينبغي أن أن يكون مصدرها، قدر الإمكان، هو نظام غذائي متوازن ومتنوع من الناحية التغذوية، بما في ذلك من الفواكه والخضروات والأغذية الحيوانية المصدر.
"هل يحتاج الأفراد إلى تناول مكملات فيتامين ""دال"" إذا كانوا لا يتعرضون لأشعة الشمس نتيجة للإغلاق الشامل؟ ","يمكن للجلد أن ينتج فيتامين ""دال"" من خلال التعرض لأشعة الشمس أو أن يحصل عليها من الأغذية الطبيعية المصدر (الأسماك الدهنية كالسلمون والتونة والإسقمري، وزيوت كبد السمك، وكبد البقر والجبن وصفار البيض)، أو من الأغذية المغنّاة بفيتامين دال أو أقراص فيتامين ""دال"".  وفي الحالات التي يكون فيها وضع الأفراد من حيث مدخول فيتامين ""دال"" هامشيا بالفعل أو إذا كانوا لا يستهلكون أغذية غنية بفيتامين ""دال"" (بما فيها الأغذية المغنّاة بفيتامين ""دال"") أو إذا كان تعرّضهم لأشعة الشمس محدوداً، فيمكن النظر في تناول مكمّل غذائي يحتوي على فيتامين ""دال"" بالجرعة الموصى بها (200-600 وحدة دولية، حسب السن) أو وفقاً للمبادئ التوجيهية الوطنية."
